Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NPQ)4;Y(NPQ)5;Y(NPQ)6;Y(NPQ)7;Y(NPQ)8;Y(NPQ)9;Y(NO)1;Y(NO)2;Y(NO)3;Y(NO)4;Y(NO)5;Y(NO)6;Y(NO)7;Y(NO)8;Y(NO)9;
17.07.18;06:50:04;1;2;0.2642;0.2662;0.2510;0.2392;0.2667;0.2779;0.2662;0.2676;0.2466;0.6230;0.6230;0.5735;0.5475;0.6103;0.6348;0.6132;0.6216;0.5740;0.576;0.573;0.562;0.563;0.563;0.562;0.566;0.569;0.570;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.424;0.427;0.438;0.437;0.437;0.438;0.434;0.431;0.430;
17.07.18;06:50:25;2;2;0.2672;0.2667;0.2510;0.2407;0.2686;0.2804;0.2686;0.2696;0.2490;0.6098;0.6078;0.5593;0.5353;0.5971;0.6245;0.6020;0.6078;0.5627;0.562;0.561;0.551;0.550;0.550;0.551;0.554;0.556;0.557;0.008;0.012;0.013;0.009;0.009;0.007;0.008;0.009;0.008;0.430;0.426;0.436;0.441;0.441;0.442;0.438;0.435;0.435;
17.07.18;06:50:45;3;52;0.3010;0.3000;0.2882;0.2750;0.3069;0.3221;0.3113;0.3083;0.2887;0.5971;0.5946;0.5515;0.5250;0.5843;0.6127;0.5907;0.6010;0.5593;0.496;0.495;0.477;0.476;0.475;0.474;0.473;0.487;0.484;0.022;0.023;0.022;0.023;0.023;0.018;0.018;0.016;0.015;0.482;0.482;0.501;0.501;0.502;0.508;0.509;0.497;0.501;
17.07.18;06:51:06;4;102;0.3265;0.3270;0.3167;0.3015;0.3353;0.3554;0.3412;0.3377;0.3108;0.5716;0.5696;0.5275;0.5020;0.5564;0.5868;0.5627;0.5750;0.5353;0.429;0.426;0.400;0.399;0.397;0.394;0.394;0.413;0.419;0.048;0.049;0.050;0.051;0.053;0.044;0.051;0.043;0.041;0.523;0.525;0.550;0.550;0.550;0.561;0.555;0.544;0.540;
17.07.18;06:51:26;5;204;0.3686;0.3711;0.3534;0.3289;0.3691;0.3926;0.3784;0.3745;0.3446;0.5338;0.5338;0.4887;0.4578;0.5142;0.5436;0.5240;0.5363;0.5005;0.309;0.305;0.277;0.282;0.282;0.278;0.278;0.302;0.311;0.101;0.101;0.106;0.114;0.113;0.105;0.105;0.095;0.086;0.589;0.594;0.617;0.604;0.605;0.617;0.617;0.604;0.602;
17.07.18;06:51:46;6;308;0.3652;0.3686;0.3525;0.3343;0.3681;0.3941;0.3814;0.3814;0.3549;0.4824;0.4824;0.4417;0.4191;0.4637;0.4902;0.4745;0.4858;0.4583;0.243;0.236;0.202;0.202;0.206;0.196;0.196;0.215;0.226;0.173;0.175;0.184;0.190;0.190;0.184;0.184;0.173;0.156;0.584;0.589;0.614;0.608;0.604;0.620;0.619;0.612;0.619;
17.07.18;06:52:06;7;422;0.3417;0.3490;0.3289;0.3123;0.3441;0.3642;0.3544;0.3569;0.3353;0.4289;0.4333;0.3946;0.3730;0.4137;0.4338;0.4225;0.4333;0.4132;0.203;0.195;0.166;0.163;0.168;0.160;0.161;0.176;0.189;0.249;0.246;0.260;0.268;0.266;0.269;0.262;0.251;0.228;0.548;0.560;0.573;0.569;0.565;0.571;0.577;0.572;0.584;
17.07.18;06:52:27;8;540;0.3201;0.3279;0.3118;0.2892;0.3221;0.3431;0.3368;0.3387;0.3206;0.3819;0.3863;0.3559;0.3284;0.3681;0.3882;0.3814;0.3917;0.3735;0.162;0.151;0.124;0.119;0.125;0.116;0.117;0.135;0.142;0.324;0.322;0.332;0.355;0.347;0.341;0.335;0.318;0.299;0.515;0.527;0.544;0.526;0.527;0.543;0.548;0.547;0.560;
17.07.18;06:52:47;9;667;0.2926;0.2990;0.2848;0.2667;0.2892;0.3127;0.3083;0.3108;0.2961;0.3397;0.3431;0.3181;0.2971;0.3265;0.3475;0.3422;0.3505;0.3358;0.139;0.129;0.105;0.102;0.114;0.100;0.099;0.113;0.118;0.391;0.391;0.398;0.411;0.410;0.408;0.400;0.386;0.365;0.470;0.480;0.497;0.486;0.476;0.491;0.501;0.501;0.517;
17.07.18;06:53:07;10;814;0.2716;0.2765;0.2642;0.2475;0.2721;0.2897;0.2868;0.2892;0.2765;0.3083;0.3118;0.2912;0.2711;0.3000;0.3167;0.3132;0.3196;0.3069;0.119;0.113;0.093;0.087;0.093;0.085;0.085;0.095;0.099;0.445;0.444;0.447;0.461;0.461;0.459;0.448;0.439;0.421;0.436;0.443;0.460;0.452;0.446;0.456;0.468;0.466;0.480;
