Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NPQ)4;Y(NPQ)5;Y(NPQ)6;Y(NPQ)7;Y(NPQ)8;Y(NPQ)9;Y(NPQ)10;Y(NO)1;Y(NO)2;Y(NO)3;Y(NO)4;Y(NO)5;Y(NO)6;Y(NO)7;Y(NO)8;Y(NO)9;Y(NO)10;
17.07.18;07:00:48;1;2;0.2598;0.2750;0.2711;0.2711;0.2627;0.2377;0.2108;0.2838;0.2441;0.2142;0.5946;0.6250;0.6137;0.6083;0.5882;0.5431;0.4868;0.6309;0.5510;0.4853;0.563;0.560;0.558;0.554;0.553;0.562;0.567;0.550;0.557;0.559;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.437;0.440;0.442;0.446;0.447;0.438;0.433;0.450;0.443;0.441;
17.07.18;07:01:11;2;2;0.2623;0.2760;0.2725;0.2725;0.2642;0.2397;0.2132;0.2843;0.2461;0.2167;0.5784;0.6064;0.5966;0.5907;0.5740;0.5299;0.4750;0.6132;0.5348;0.4711;0.547;0.545;0.543;0.539;0.540;0.548;0.551;0.536;0.540;0.540;0.013;0.013;0.013;0.014;0.012;0.012;0.013;0.014;0.013;0.014;0.440;0.442;0.444;0.448;0.448;0.440;0.436;0.450;0.447;0.446;
17.07.18;07:01:33;3;2;0.2608;0.2755;0.2725;0.2730;0.2647;0.2392;0.2132;0.2843;0.2456;0.2162;0.5706;0.5995;0.5907;0.5848;0.5686;0.5235;0.4701;0.6064;0.5304;0.4657;0.543;0.540;0.539;0.533;0.534;0.543;0.546;0.531;0.537;0.536;0.019;0.020;0.016;0.020;0.015;0.015;0.015;0.020;0.016;0.020;0.438;0.440;0.446;0.447;0.451;0.442;0.438;0.449;0.447;0.445;
17.07.18;07:01:53;4;52;0.2789;0.2985;0.2941;0.2936;0.2926;0.2618;0.2294;0.3054;0.2618;0.2284;0.5583;0.5858;0.5745;0.5691;0.5574;0.5167;0.4632;0.5907;0.5196;0.4578;0.500;0.490;0.488;0.484;0.475;0.493;0.505;0.483;0.496;0.501;0.030;0.031;0.032;0.031;0.029;0.024;0.023;0.032;0.029;0.029;0.470;0.478;0.480;0.485;0.496;0.483;0.472;0.485;0.475;0.470;
17.07.18;07:02:13;5;102;0.3034;0.3260;0.3211;0.3186;0.3225;0.2882;0.2505;0.3319;0.2843;0.2446;0.5392;0.5627;0.5529;0.5456;0.5338;0.4975;0.4520;0.5691;0.5025;0.4426;0.437;0.421;0.419;0.416;0.396;0.421;0.446;0.417;0.434;0.447;0.054;0.058;0.058;0.059;0.054;0.049;0.040;0.058;0.049;0.048;0.508;0.522;0.523;0.525;0.550;0.530;0.514;0.525;0.517;0.505;
17.07.18;07:02:33;6;204;0.3387;0.3652;0.3588;0.3534;0.3588;0.3255;0.2814;0.3701;0.3201;0.2725;0.5049;0.5260;0.5176;0.5098;0.5000;0.4716;0.4284;0.5328;0.4760;0.4206;0.329;0.306;0.307;0.307;0.282;0.310;0.343;0.305;0.327;0.352;0.100;0.110;0.110;0.110;0.106;0.093;0.080;0.109;0.091;0.088;0.571;0.584;0.583;0.583;0.612;0.597;0.577;0.586;0.582;0.560;
17.07.18;07:02:54;7;308;0.3373;0.3569;0.3529;0.3446;0.3534;0.3265;0.2907;0.3627;0.3206;0.2750;0.4627;0.4745;0.4676;0.4569;0.4529;0.4309;0.3971;0.4799;0.4363;0.3863;0.271;0.248;0.245;0.246;0.220;0.242;0.268;0.244;0.265;0.288;0.161;0.180;0.180;0.187;0.180;0.158;0.132;0.180;0.155;0.143;0.568;0.572;0.575;0.567;0.601;0.599;0.600;0.575;0.580;0.569;
17.07.18;07:03:14;8;422;0.3284;0.3412;0.3368;0.3314;0.3387;0.3181;0.2853;0.3475;0.3113;0.2691;0.4176;0.4240;0.4157;0.4078;0.4064;0.3902;0.3608;0.4279;0.3926;0.3500;0.214;0.195;0.190;0.188;0.166;0.185;0.209;0.188;0.207;0.231;0.234;0.258;0.260;0.266;0.260;0.230;0.203;0.260;0.229;0.216;0.552;0.546;0.550;0.546;0.573;0.586;0.588;0.552;0.563;0.553;
17.07.18;07:03:34;9;540;0.2990;0.3127;0.3083;0.3010;0.3103;0.2931;0.2632;0.3191;0.2858;0.2485;0.3676;0.3760;0.3691;0.3603;0.3618;0.3490;0.3221;0.3814;0.3500;0.3132;0.187;0.168;0.165;0.165;0.142;0.160;0.183;0.163;0.183;0.207;0.309;0.331;0.332;0.341;0.331;0.298;0.278;0.332;0.299;0.281;0.505;0.501;0.504;0.494;0.527;0.542;0.539;0.505;0.517;0.512;
17.07.18;07:03:55;10;667;0.2789;0.2902;0.2858;0.2794;0.2882;0.2730;0.2461;0.2956;0.2672;0.2319;0.3304;0.3377;0.3304;0.3230;0.3265;0.3152;0.2887;0.3417;0.3147;0.2814;0.156;0.141;0.135;0.135;0.117;0.134;0.148;0.135;0.151;0.176;0.375;0.394;0.400;0.405;0.392;0.363;0.348;0.396;0.364;0.346;0.469;0.465;0.465;0.460;0.491;0.503;0.505;0.469;0.485;0.479;
