Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;
19.07.18;06:20:43;1;2;0.1760;0.2471;0.2750;0.2706;0.2539;0.2750;0.2701;0.2574;0.2588;0.2637;0.1912;0.4054;0.5451;0.5966;0.5897;0.5554;0.5980;0.5931;0.5725;0.5838;0.5990;0.4441;0.566;0.547;0.539;0.541;0.543;0.540;0.545;0.551;0.557;0.560;0.570;
19.07.18;06:21:04;2;2;0.1824;0.2520;0.2775;0.2721;0.2525;0.2740;0.2701;0.2598;0.2613;0.2667;0.1951;0.4000;0.5343;0.5814;0.5711;0.5324;0.5735;0.5730;0.5554;0.5672;0.5848;0.4333;0.544;0.528;0.523;0.524;0.526;0.522;0.529;0.532;0.539;0.544;0.550;
19.07.18;06:21:24;3;52;0.1980;0.2770;0.3049;0.2995;0.2809;0.3083;0.3020;0.2858;0.2912;0.2975;0.2127;0.3922;0.5186;0.5627;0.5539;0.5230;0.5657;0.5618;0.5422;0.5569;0.5740;0.4275;0.495;0.466;0.458;0.459;0.463;0.455;0.462;0.473;0.477;0.482;0.502;
19.07.18;06:21:45;4;102;0.2015;0.2863;0.3167;0.3103;0.2912;0.3230;0.3172;0.2971;0.3059;0.3132;0.2196;0.3676;0.4853;0.5245;0.5191;0.4907;0.5324;0.5304;0.5118;0.5294;0.5461;0.4118;0.452;0.410;0.396;0.402;0.407;0.393;0.402;0.420;0.422;0.426;0.467;
19.07.18;06:22:05;5;204;0.2260;0.3132;0.3436;0.3377;0.3186;0.3534;0.3500;0.3284;0.3412;0.3529;0.2471;0.3500;0.4436;0.4765;0.4735;0.4505;0.4877;0.4892;0.4745;0.4931;0.5078;0.3931;0.354;0.294;0.279;0.287;0.293;0.275;0.285;0.308;0.308;0.305;0.372;
19.07.18;06:22:25;6;308;0.2270;0.3015;0.3275;0.3240;0.3078;0.3402;0.3377;0.3191;0.3338;0.3456;0.2495;0.3196;0.3912;0.4172;0.4181;0.3995;0.4333;0.4358;0.4245;0.4431;0.4564;0.3623;0.290;0.229;0.215;0.225;0.229;0.215;0.225;0.248;0.247;0.243;0.311;
19.07.18;06:22:46;7;422;0.2221;0.2833;0.3059;0.3029;0.2897;0.3191;0.3181;0.3025;0.3167;0.3284;0.2422;0.2887;0.3446;0.3657;0.3662;0.3529;0.3819;0.3858;0.3775;0.3941;0.4059;0.3260;0.231;0.178;0.164;0.173;0.179;0.164;0.175;0.199;0.197;0.191;0.257;
19.07.18;06:23:06;8;540;0.2083;0.2603;0.2799;0.2770;0.2652;0.2922;0.2917;0.2779;0.2917;0.3025;0.2260;0.2559;0.3034;0.3221;0.3230;0.3118;0.3377;0.3417;0.3343;0.3495;0.3593;0.2902;0.186;0.142;0.131;0.143;0.149;0.135;0.146;0.169;0.165;0.158;0.221;
19.07.18;06:23:26;9;667;0.1956;0.2422;0.2608;0.2588;0.2480;0.2716;0.2716;0.2598;0.2721;0.2828;0.2127;0.2294;0.2721;0.2902;0.2897;0.2804;0.3034;0.3074;0.3000;0.3127;0.3230;0.2613;0.147;0.110;0.101;0.107;0.115;0.105;0.116;0.134;0.130;0.124;0.186;
19.07.18;06:23:46;10;814;0.1833;0.2245;0.2417;0.2397;0.2299;0.2515;0.2520;0.2412;0.2515;0.2618;0.1980;0.2083;0.2471;0.2632;0.2632;0.2549;0.2750;0.2779;0.2716;0.2824;0.2926;0.2358;0.120;0.091;0.082;0.089;0.098;0.086;0.093;0.112;0.109;0.106;0.160;
19.07.18;06:24:07;11;1038;0.1750;0.2137;0.2304;0.2279;0.2191;0.2382;0.2387;0.2294;0.2382;0.2485;0.1882;0.1917;0.2279;0.2431;0.2422;0.2343;0.2525;0.2554;0.2490;0.2583;0.2681;0.2142;0.087;0.062;0.052;0.059;0.065;0.056;0.065;0.079;0.078;0.073;0.121;
19.07.18;06:24:27;12;1290;0.1647;0.2029;0.2176;0.2147;0.2069;0.2250;0.2250;0.2167;0.2245;0.2338;0.1775;0.1765;0.2123;0.2265;0.2250;0.2176;0.2343;0.2353;0.2299;0.2382;0.2475;0.1961;0.067;0.044;0.039;0.046;0.050;0.040;0.044;0.058;0.058;0.055;0.095;
19.07.18;06:24:47;13;1633;0.1569;0.1931;0.2074;0.2049;0.1966;0.2137;0.2132;0.2059;0.2137;0.2216;0.1686;0.1647;0.1990;0.2137;0.2113;0.2034;0.2196;0.2211;0.2152;0.2230;0.2314;0.1819;0.048;0.030;0.030;0.030;0.034;0.027;0.035;0.043;0.042;0.042;0.073;
