Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;
20.07.18;07:00:46;1;1;0.2721;0.2422;0.2608;0.2417;0.2721;0.2505;0.2897;0.2539;0.2809;0.2583;0.2814;0.2593;0.2730;0.2809;0.2676;0.2716;0.2583;0.2608;0.5495;0.4961;0.5191;0.5029;0.5475;0.5265;0.5833;0.5363;0.5755;0.5461;0.5887;0.5397;0.5686;0.5637;0.5402;0.5623;0.5451;0.5456;0.505;0.512;0.498;0.519;0.503;0.524;0.503;0.527;0.512;0.527;0.522;0.520;0.520;0.502;0.505;0.517;0.526;0.522;
20.07.18;07:01:07;2;2;0.2765;0.2475;0.2662;0.2475;0.2779;0.2559;0.2956;0.2593;0.2858;0.2637;0.2868;0.2647;0.2789;0.2858;0.2730;0.2765;0.2632;0.2652;0.5397;0.4868;0.5103;0.4931;0.5363;0.5162;0.5725;0.5260;0.5657;0.5373;0.5779;0.5304;0.5588;0.5525;0.5309;0.5500;0.5348;0.5299;0.488;0.491;0.478;0.498;0.482;0.504;0.484;0.507;0.495;0.509;0.504;0.501;0.501;0.483;0.486;0.497;0.508;0.500;
20.07.18;07:01:27;3;52;0.2975;0.2662;0.2863;0.2711;0.3015;0.2789;0.3221;0.2853;0.3132;0.2912;0.3216;0.2897;0.3078;0.3123;0.2985;0.3025;0.2873;0.2873;0.5211;0.4730;0.4897;0.4799;0.5152;0.5020;0.5505;0.5127;0.5466;0.5230;0.5613;0.5152;0.5426;0.5328;0.5137;0.5333;0.5206;0.5206;0.429;0.437;0.415;0.435;0.415;0.444;0.415;0.444;0.427;0.443;0.427;0.438;0.433;0.414;0.419;0.433;0.448;0.448;
20.07.18;07:01:48;4;102;0.2990;0.2701;0.2882;0.2760;0.3020;0.2868;0.3250;0.2951;0.3216;0.3025;0.3294;0.2980;0.3147;0.3152;0.3034;0.3069;0.2922;0.2936;0.4902;0.4471;0.4603;0.4534;0.4838;0.4770;0.5186;0.4863;0.5172;0.4971;0.5299;0.4882;0.5132;0.5015;0.4848;0.5044;0.4941;0.4936;0.390;0.396;0.374;0.391;0.376;0.399;0.373;0.393;0.378;0.392;0.378;0.390;0.387;0.371;0.374;0.392;0.409;0.405;
20.07.18;07:02:08;5;204;0.3167;0.2877;0.3015;0.2951;0.3162;0.3093;0.3412;0.3201;0.3426;0.3284;0.3525;0.3211;0.3373;0.3314;0.3225;0.3284;0.3172;0.3172;0.4525;0.4167;0.4230;0.4235;0.4456;0.4480;0.4779;0.4569;0.4824;0.4662;0.4956;0.4569;0.4804;0.4627;0.4520;0.4701;0.4632;0.4642;0.300;0.309;0.287;0.303;0.290;0.310;0.286;0.299;0.290;0.295;0.289;0.297;0.298;0.284;0.286;0.301;0.315;0.317;
20.07.18;07:02:28;6;308;0.3108;0.2858;0.2956;0.2956;0.3118;0.3098;0.3353;0.3201;0.3407;0.3289;0.3510;0.3196;0.3348;0.3260;0.3191;0.3270;0.3172;0.3176;0.4064;0.3819;0.3828;0.3907;0.4064;0.4147;0.4368;0.4225;0.4456;0.4319;0.4564;0.4221;0.4422;0.4230;0.4167;0.4309;0.4265;0.4289;0.235;0.252;0.228;0.243;0.233;0.253;0.232;0.242;0.235;0.238;0.231;0.243;0.243;0.229;0.234;0.241;0.256;0.259;
20.07.18;07:02:49;7;422;0.2922;0.2701;0.2770;0.2809;0.2931;0.2951;0.3162;0.3049;0.3235;0.3132;0.3338;0.3034;0.3181;0.3069;0.3034;0.3108;0.3029;0.3029;0.3613;0.3431;0.3412;0.3529;0.3637;0.3765;0.3922;0.3848;0.4059;0.3941;0.4132;0.3843;0.4005;0.3794;0.3775;0.3873;0.3863;0.3892;0.191;0.213;0.188;0.204;0.194;0.216;0.194;0.208;0.203;0.205;0.192;0.210;0.206;0.191;0.196;0.197;0.216;0.222;
20.07.18;07:03:09;8;540;0.2721;0.2554;0.2593;0.2662;0.2750;0.2809;0.2975;0.2897;0.3078;0.2985;0.3167;0.2892;0.3015;0.2882;0.2863;0.2926;0.2863;0.2868;0.3206;0.3088;0.3049;0.3191;0.3270;0.3417;0.3534;0.3505;0.3691;0.3593;0.3750;0.3505;0.3632;0.3407;0.3426;0.3495;0.3475;0.3510;0.151;0.173;0.150;0.166;0.159;0.178;0.158;0.173;0.166;0.169;0.156;0.175;0.170;0.154;0.165;0.163;0.176;0.183;
20.07.18;07:03:29;9;667;0.2539;0.2377;0.2412;0.2485;0.2564;0.2627;0.2779;0.2721;0.2892;0.2804;0.2961;0.2721;0.2814;0.2696;0.2691;0.2745;0.2681;0.2696;0.2853;0.2760;0.2725;0.2873;0.2926;0.3078;0.3181;0.3167;0.3343;0.3250;0.3377;0.3172;0.3255;0.3064;0.3098;0.3137;0.3113;0.3147;0.110;0.139;0.115;0.135;0.124;0.146;0.126;0.141;0.135;0.137;0.123;0.142;0.136;0.120;0.131;0.125;0.139;0.143;
20.07.18;07:03:49;10;814;0.2333;0.2196;0.2221;0.2294;0.2363;0.2417;0.2569;0.2505;0.2672;0.2588;0.2730;0.2520;0.2593;0.2485;0.2490;0.2529;0.2471;0.2480;0.2588;0.2500;0.2475;0.2603;0.2657;0.2794;0.2897;0.2877;0.3049;0.2956;0.3064;0.2892;0.2966;0.2779;0.2828;0.2843;0.2814;0.2853;0.098;0.122;0.103;0.119;0.111;0.135;0.113;0.129;0.124;0.124;0.109;0.129;0.126;0.106;0.120;0.110;0.122;0.131;
20.07.18;07:04:10;11;1038;0.2211;0.2074;0.2103;0.2162;0.2230;0.2284;0.2422;0.2363;0.2525;0.2441;0.2564;0.2387;0.2446;0.2343;0.2353;0.2382;0.2319;0.2333;0.2373;0.2284;0.2270;0.2373;0.2426;0.2544;0.2647;0.2632;0.2794;0.2706;0.2789;0.2652;0.2696;0.2544;0.2593;0.2598;0.2559;0.2593;0.068;0.092;0.073;0.089;0.081;0.102;0.085;0.102;0.096;0.098;0.081;0.100;0.093;0.079;0.093;0.083;0.094;0.100;
20.07.18;07:04:30;12;1290;0.2098;0.1966;0.1990;0.2044;0.2113;0.2152;0.2289;0.2230;0.2382;0.2309;0.2417;0.2260;0.2309;0.2211;0.2235;0.2255;0.2186;0.2196;0.2206;0.2113;0.2108;0.2191;0.2250;0.2333;0.2446;0.2426;0.2574;0.2495;0.2578;0.2451;0.2485;0.2353;0.2402;0.2412;0.2353;0.2382;0.049;0.070;0.056;0.067;0.061;0.078;0.064;0.081;0.074;0.075;0.063;0.078;0.071;0.060;0.069;0.065;0.071;0.078;
20.07.18;07:04:50;13;1633;0.2005;0.1877;0.1907;0.1951;0.2020;0.2054;0.2186;0.2123;0.2260;0.2191;0.2294;0.2162;0.2201;0.2118;0.2127;0.2152;0.2083;0.2093;0.2064;0.1966;0.1980;0.2039;0.2098;0.2162;0.2279;0.2245;0.2377;0.2299;0.2392;0.2275;0.2304;0.2201;0.2235;0.2245;0.2186;0.2211;0.029;0.045;0.037;0.043;0.037;0.050;0.041;0.055;0.049;0.047;0.041;0.050;0.045;0.038;0.048;0.041;0.047;0.053;
