Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;
20.07.18;07:06:44;1;1;0.2108;0.2348;0.2333;0.2554;0.2319;0.2275;0.2216;0.2319;0.2505;0.2093;0.2627;0.2353;0.2564;0.2152;0.2549;0.2225;0.2549;0.4637;0.5127;0.5181;0.5613;0.5049;0.5010;0.4863;0.5123;0.5500;0.4544;0.5686;0.5088;0.5603;0.4686;0.5593;0.4863;0.5657;0.545;0.542;0.550;0.545;0.541;0.546;0.544;0.547;0.545;0.539;0.538;0.538;0.542;0.541;0.544;0.542;0.549;
20.07.18;07:07:05;2;2;0.2157;0.2397;0.2387;0.2598;0.2363;0.2333;0.2265;0.2358;0.2544;0.2127;0.2657;0.2402;0.2593;0.2196;0.2583;0.2270;0.2598;0.4520;0.5005;0.5069;0.5466;0.4931;0.4912;0.4745;0.4980;0.5353;0.4436;0.5529;0.4961;0.5451;0.4588;0.5431;0.4740;0.5529;0.523;0.521;0.529;0.525;0.521;0.525;0.523;0.527;0.525;0.520;0.520;0.516;0.524;0.521;0.524;0.521;0.530;
20.07.18;07:07:25;3;52;0.2299;0.2569;0.2578;0.2848;0.2549;0.2529;0.2456;0.2642;0.2799;0.2314;0.2951;0.2632;0.2892;0.2382;0.2824;0.2461;0.2843;0.4431;0.4868;0.4936;0.5294;0.4765;0.4784;0.4627;0.4887;0.5221;0.4324;0.5373;0.4824;0.5309;0.4466;0.5279;0.4603;0.5368;0.481;0.472;0.478;0.462;0.465;0.471;0.469;0.459;0.464;0.465;0.451;0.454;0.455;0.467;0.465;0.465;0.470;
20.07.18;07:07:46;4;102;0.2333;0.2613;0.2603;0.2902;0.2578;0.2549;0.2471;0.2686;0.2843;0.2343;0.2995;0.2667;0.2966;0.2397;0.2868;0.2500;0.2902;0.4216;0.4603;0.4676;0.4990;0.4480;0.4515;0.4358;0.4574;0.4892;0.4069;0.4985;0.4515;0.4966;0.4230;0.4936;0.4333;0.5078;0.447;0.432;0.443;0.418;0.425;0.435;0.433;0.413;0.419;0.424;0.399;0.409;0.403;0.433;0.419;0.423;0.429;
20.07.18;07:08:06;5;204;0.2559;0.2848;0.2877;0.3186;0.2819;0.2804;0.2696;0.2985;0.3152;0.2583;0.3279;0.2926;0.3265;0.2637;0.3157;0.2750;0.3225;0.4005;0.4324;0.4422;0.4657;0.4186;0.4240;0.4088;0.4304;0.4593;0.3838;0.4647;0.4221;0.4632;0.3975;0.4618;0.4074;0.4779;0.361;0.341;0.349;0.316;0.327;0.339;0.341;0.306;0.314;0.327;0.294;0.307;0.295;0.337;0.316;0.325;0.325;
20.07.18;07:08:26;6;308;0.2588;0.2838;0.2882;0.3167;0.2799;0.2794;0.2672;0.2985;0.3132;0.2588;0.3225;0.2902;0.3225;0.2652;0.3142;0.2755;0.3250;0.3716;0.3980;0.4069;0.4270;0.3848;0.3897;0.3740;0.3926;0.4196;0.3544;0.4191;0.3868;0.4196;0.3667;0.4196;0.3750;0.4377;0.303;0.287;0.292;0.258;0.273;0.283;0.286;0.240;0.254;0.270;0.230;0.250;0.231;0.277;0.251;0.265;0.258;
20.07.18;07:08:46;7;422;0.2520;0.2735;0.2789;0.3049;0.2706;0.2706;0.2569;0.2853;0.3015;0.2515;0.3054;0.2789;0.3059;0.2564;0.3010;0.2667;0.3127;0.3412;0.3632;0.3721;0.3882;0.3500;0.3559;0.3392;0.3544;0.3804;0.3245;0.3755;0.3515;0.3770;0.3343;0.3789;0.3431;0.3975;0.261;0.247;0.250;0.215;0.227;0.240;0.243;0.195;0.207;0.225;0.187;0.206;0.189;0.233;0.206;0.223;0.213;
20.07.18;07:09:07;8;540;0.2431;0.2618;0.2681;0.2902;0.2583;0.2588;0.2456;0.2706;0.2858;0.2412;0.2873;0.2657;0.2887;0.2456;0.2853;0.2559;0.2980;0.3078;0.3270;0.3363;0.3500;0.3167;0.3216;0.3044;0.3176;0.3417;0.2946;0.3338;0.3176;0.3353;0.3015;0.3382;0.3103;0.3569;0.210;0.199;0.203;0.171;0.184;0.195;0.193;0.148;0.164;0.181;0.140;0.164;0.139;0.185;0.157;0.175;0.165;
20.07.18;07:09:27;9;667;0.2250;0.2417;0.2480;0.2672;0.2397;0.2397;0.2270;0.2495;0.2632;0.2240;0.2642;0.2461;0.2652;0.2275;0.2632;0.2373;0.2760;0.2779;0.2951;0.3044;0.3152;0.2877;0.2912;0.2745;0.2858;0.3074;0.2676;0.3000;0.2887;0.3020;0.2735;0.3054;0.2819;0.3216;0.190;0.181;0.185;0.152;0.167;0.177;0.173;0.127;0.144;0.163;0.119;0.148;0.122;0.168;0.138;0.158;0.142;
20.07.18;07:09:47;10;814;0.2103;0.2275;0.2314;0.2490;0.2245;0.2240;0.2118;0.2319;0.2446;0.2088;0.2461;0.2294;0.2461;0.2123;0.2456;0.2221;0.2559;0.2500;0.2672;0.2740;0.2843;0.2603;0.2637;0.2475;0.2574;0.2765;0.2431;0.2711;0.2613;0.2716;0.2461;0.2755;0.2554;0.2892;0.159;0.149;0.156;0.124;0.137;0.151;0.145;0.099;0.115;0.141;0.092;0.122;0.094;0.137;0.109;0.131;0.115;
20.07.18;07:10:07;11;1038;0.1975;0.2147;0.2186;0.2353;0.2127;0.2118;0.2000;0.2176;0.2294;0.1980;0.2309;0.2172;0.2314;0.2005;0.2309;0.2103;0.2412;0.2275;0.2441;0.2500;0.2608;0.2392;0.2402;0.2255;0.2348;0.2515;0.2230;0.2480;0.2402;0.2485;0.2250;0.2510;0.2343;0.2642;0.131;0.120;0.125;0.098;0.111;0.118;0.113;0.073;0.088;0.112;0.069;0.096;0.069;0.109;0.080;0.103;0.087;
20.07.18;07:10:28;12;1290;0.1887;0.2054;0.2093;0.2250;0.2034;0.2025;0.1917;0.2069;0.2176;0.1892;0.2201;0.2074;0.2201;0.1912;0.2211;0.2010;0.2294;0.2069;0.2240;0.2289;0.2402;0.2201;0.2201;0.2069;0.2162;0.2304;0.2044;0.2284;0.2211;0.2289;0.2059;0.2314;0.2152;0.2422;0.088;0.083;0.086;0.063;0.076;0.080;0.073;0.043;0.055;0.074;0.036;0.062;0.039;0.071;0.044;0.066;0.053;
20.07.18;07:10:48;13;1633;0.1765;0.1926;0.1961;0.2113;0.1922;0.1897;0.1799;0.1941;0.2039;0.1770;0.2069;0.1946;0.2069;0.1794;0.2078;0.1887;0.2157;0.1902;0.2069;0.2113;0.2225;0.2039;0.2034;0.1917;0.2010;0.2132;0.1892;0.2132;0.2049;0.2132;0.1907;0.2162;0.1995;0.2250;0.072;0.069;0.072;0.051;0.058;0.067;0.061;0.034;0.044;0.065;0.030;0.050;0.030;0.059;0.039;0.054;0.041;
