Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;
31.07.18;07:31:52;1;0;0.2284;0.2407;0.2475;0.2054;0.2157;0.2475;0.2480;0.2529;0.2500;0.1961;0.1941;0.4843;0.4980;0.4990;0.4225;0.4451;0.5113;0.5127;0.5172;0.5025;0.3951;0.3696;0.528;0.517;0.504;0.514;0.515;0.516;0.516;0.511;0.502;0.504;0.475;
31.07.18;07:32:13;2;2;0.2309;0.2436;0.2505;0.2093;0.2201;0.2520;0.2529;0.2564;0.2525;0.1985;0.1971;0.4814;0.4941;0.4946;0.4211;0.4426;0.5078;0.5098;0.5113;0.4961;0.3907;0.3681;0.520;0.507;0.494;0.503;0.503;0.504;0.504;0.499;0.491;0.492;0.465;
31.07.18;07:32:34;3;52;0.2539;0.2652;0.2711;0.2250;0.2382;0.2819;0.2799;0.2833;0.2765;0.2162;0.2132;0.4775;0.4882;0.4853;0.4162;0.4377;0.4956;0.5025;0.5005;0.4877;0.3848;0.3623;0.468;0.457;0.441;0.459;0.456;0.431;0.443;0.434;0.433;0.438;0.411;
31.07.18;07:32:54;4;102;0.2554;0.2652;0.2711;0.2284;0.2402;0.2696;0.2775;0.2853;0.2784;0.2176;0.2127;0.4574;0.4657;0.4593;0.4005;0.4201;0.4583;0.4745;0.4765;0.4647;0.3691;0.3426;0.442;0.431;0.410;0.430;0.428;0.412;0.415;0.401;0.401;0.410;0.379;
31.07.18;07:33:14;5;204;0.2828;0.2882;0.2922;0.2515;0.2672;0.2936;0.3029;0.3044;0.3064;0.2387;0.2309;0.4324;0.4348;0.4235;0.3819;0.4000;0.4284;0.4441;0.4387;0.4314;0.3480;0.3240;0.346;0.337;0.310;0.341;0.332;0.315;0.318;0.306;0.290;0.314;0.287;
31.07.18;07:33:35;6;308;0.2892;0.2892;0.2912;0.2574;0.2730;0.2966;0.3049;0.3015;0.3029;0.2402;0.2338;0.3936;0.3897;0.3789;0.3495;0.3657;0.3868;0.4010;0.3907;0.3853;0.3137;0.2966;0.265;0.258;0.232;0.264;0.253;0.233;0.240;0.228;0.214;0.234;0.212;
31.07.18;07:33:55;7;422;0.2770;0.2745;0.2775;0.2480;0.2627;0.2828;0.2917;0.2843;0.2863;0.2299;0.2250;0.3529;0.3471;0.3402;0.3157;0.3314;0.3475;0.3608;0.3485;0.3441;0.2824;0.2696;0.215;0.209;0.184;0.214;0.207;0.186;0.192;0.184;0.168;0.186;0.165;
31.07.18;07:34:15;8;540;0.2564;0.2544;0.2574;0.2319;0.2461;0.2632;0.2721;0.2632;0.2662;0.2152;0.2123;0.3123;0.3069;0.3034;0.2828;0.2975;0.3098;0.3230;0.3098;0.3078;0.2539;0.2441;0.179;0.171;0.152;0.180;0.173;0.150;0.158;0.150;0.135;0.153;0.131;
31.07.18;07:34:35;9;667;0.2363;0.2353;0.2373;0.2157;0.2284;0.2451;0.2534;0.2436;0.2475;0.2015;0.1985;0.2794;0.2750;0.2725;0.2559;0.2696;0.2804;0.2926;0.2789;0.2794;0.2309;0.2225;0.154;0.144;0.129;0.157;0.153;0.126;0.134;0.127;0.114;0.127;0.108;
31.07.18;07:34:56;10;814;0.2240;0.2216;0.2235;0.2054;0.2172;0.2314;0.2402;0.2294;0.2343;0.1907;0.1882;0.2544;0.2500;0.2480;0.2333;0.2466;0.2549;0.2672;0.2529;0.2559;0.2113;0.2049;0.119;0.114;0.099;0.120;0.119;0.092;0.101;0.093;0.084;0.097;0.081;
31.07.18;07:35:16;11;1038;0.2132;0.2108;0.2127;0.1961;0.2083;0.2176;0.2284;0.2172;0.2235;0.1824;0.1794;0.2333;0.2299;0.2284;0.2147;0.2279;0.2324;0.2456;0.2314;0.2373;0.1951;0.1892;0.086;0.083;0.069;0.087;0.086;0.063;0.070;0.061;0.058;0.065;0.052;
31.07.18;07:35:36;12;1290;0.1990;0.1985;0.2005;0.1848;0.1966;0.2029;0.2142;0.2039;0.2113;0.1716;0.1706;0.2137;0.2123;0.2123;0.1975;0.2113;0.2142;0.2270;0.2147;0.2206;0.1814;0.1770;0.069;0.065;0.055;0.065;0.070;0.053;0.056;0.050;0.042;0.054;0.036;
31.07.18;07:35:57;13;1633;0.1897;0.1892;0.1917;0.1760;0.1868;0.1926;0.2029;0.1931;0.2005;0.1623;0.1627;0.2010;0.1995;0.2000;0.1863;0.1975;0.2005;0.2123;0.2010;0.2074;0.1691;0.1676;0.056;0.052;0.042;0.055;0.055;0.039;0.044;0.039;0.033;0.041;0.029;
