Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;
31.07.18;07:39:28;1;0;0.2373;0.2529;0.2333;0.2324;0.2123;0.2740;0.2897;0.3422;0.2917;0.3270;0.2681;0.2681;0.1843;0.4789;0.5015;0.4549;0.4564;0.4485;0.5328;0.5696;0.6775;0.5941;0.6632;0.5510;0.5784;0.4000;0.505;0.496;0.487;0.491;0.527;0.486;0.491;0.495;0.509;0.507;0.513;0.536;0.539;
31.07.18;07:39:49;2;2;0.2417;0.2564;0.2358;0.2373;0.2176;0.2775;0.2931;0.3466;0.2975;0.3314;0.2716;0.2750;0.1912;0.4701;0.4931;0.4485;0.4525;0.4422;0.5265;0.5608;0.6686;0.5858;0.6500;0.5392;0.5652;0.3922;0.486;0.480;0.474;0.476;0.508;0.473;0.477;0.482;0.492;0.490;0.496;0.513;0.512;
31.07.18;07:40:09;3;52;0.2637;0.2799;0.2583;0.2740;0.2436;0.3162;0.3279;0.3853;0.3275;0.3681;0.3044;0.3029;0.2044;0.4647;0.4819;0.4402;0.4539;0.4422;0.5211;0.5510;0.6510;0.5740;0.6314;0.5328;0.5593;0.3931;0.432;0.419;0.413;0.396;0.449;0.393;0.405;0.408;0.430;0.417;0.429;0.458;0.480;
31.07.18;07:40:30;4;102;0.2647;0.2794;0.2618;0.2814;0.2471;0.3216;0.3328;0.3848;0.3260;0.3637;0.3064;0.2995;0.2059;0.4402;0.4515;0.4142;0.4304;0.4221;0.4887;0.5186;0.6059;0.5373;0.5882;0.5049;0.5348;0.3804;0.399;0.381;0.368;0.346;0.415;0.342;0.358;0.365;0.393;0.382;0.393;0.440;0.459;
31.07.18;07:40:50;5;204;0.2843;0.2961;0.2794;0.3127;0.2730;0.3495;0.3578;0.4103;0.3471;0.3828;0.3353;0.3201;0.2201;0.4103;0.4108;0.3858;0.4162;0.4034;0.4603;0.4789;0.5539;0.4931;0.5304;0.4706;0.5010;0.3632;0.307;0.279;0.276;0.249;0.323;0.241;0.253;0.259;0.296;0.278;0.287;0.361;0.394;
31.07.18;07:41:10;6;308;0.2809;0.2877;0.2784;0.3201;0.2789;0.3485;0.3495;0.3966;0.3417;0.3696;0.3304;0.3142;0.2270;0.3681;0.3632;0.3495;0.3912;0.3735;0.4225;0.4299;0.4926;0.4426;0.4662;0.4211;0.4441;0.3387;0.237;0.208;0.203;0.182;0.253;0.175;0.187;0.195;0.228;0.207;0.215;0.292;0.330;
31.07.18;07:41:31;7;422;0.2613;0.2642;0.2613;0.3069;0.2672;0.3294;0.3250;0.3667;0.3176;0.3387;0.3083;0.2902;0.2191;0.3270;0.3196;0.3147;0.3618;0.3412;0.3848;0.3843;0.4377;0.3941;0.4093;0.3760;0.3887;0.3098;0.201;0.173;0.170;0.152;0.217;0.144;0.154;0.162;0.194;0.172;0.180;0.253;0.293;
31.07.18;07:41:51;8;540;0.2446;0.2461;0.2471;0.2922;0.2544;0.3098;0.3034;0.3407;0.2956;0.3123;0.2877;0.2657;0.2078;0.2931;0.2873;0.2877;0.3343;0.3123;0.3525;0.3495;0.3946;0.3544;0.3662;0.3407;0.3422;0.2814;0.166;0.143;0.141;0.126;0.185;0.121;0.132;0.137;0.166;0.147;0.155;0.223;0.261;
31.07.18;07:42:11;9;667;0.2289;0.2309;0.2348;0.2755;0.2397;0.2917;0.2848;0.3181;0.2760;0.2907;0.2706;0.2456;0.1956;0.2662;0.2613;0.2637;0.3074;0.2858;0.3240;0.3196;0.3583;0.3206;0.3304;0.3098;0.3029;0.2534;0.140;0.116;0.110;0.104;0.161;0.100;0.109;0.112;0.139;0.120;0.127;0.189;0.228;
31.07.18;07:42:31;10;814;0.2176;0.2191;0.2245;0.2618;0.2289;0.2765;0.2691;0.2995;0.2608;0.2735;0.2559;0.2309;0.1858;0.2441;0.2412;0.2461;0.2853;0.2637;0.3000;0.2951;0.3294;0.2941;0.3034;0.2853;0.2740;0.2309;0.108;0.091;0.088;0.082;0.132;0.078;0.088;0.091;0.113;0.099;0.103;0.157;0.195;
31.07.18;07:42:52;11;1038;0.2064;0.2088;0.2142;0.2475;0.2181;0.2623;0.2549;0.2838;0.2471;0.2593;0.2417;0.2172;0.1760;0.2260;0.2235;0.2289;0.2637;0.2431;0.2784;0.2725;0.3049;0.2706;0.2799;0.2632;0.2485;0.2103;0.087;0.066;0.064;0.061;0.103;0.058;0.065;0.069;0.087;0.074;0.082;0.126;0.163;
31.07.18;07:43:12;12;1290;0.1985;0.2010;0.2074;0.2348;0.2093;0.2510;0.2436;0.2711;0.2368;0.2480;0.2304;0.2074;0.1691;0.2113;0.2103;0.2162;0.2456;0.2270;0.2608;0.2554;0.2843;0.2534;0.2623;0.2451;0.2294;0.1936;0.060;0.044;0.041;0.044;0.078;0.038;0.046;0.047;0.066;0.054;0.060;0.096;0.127;
31.07.18;07:43:32;13;1633;0.1907;0.1931;0.1995;0.2230;0.1990;0.2392;0.2324;0.2593;0.2270;0.2373;0.2201;0.1966;0.1613;0.1985;0.1985;0.2049;0.2299;0.2113;0.2451;0.2392;0.2676;0.2377;0.2466;0.2299;0.2118;0.1784;0.040;0.027;0.026;0.030;0.058;0.024;0.029;0.031;0.045;0.038;0.043;0.072;0.096;
