Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;
31.07.18;07:45:53;1;0;0.2275;0.2632;0.2877;0.2466;0.2750;0.2505;0.2583;0.2250;0.2868;0.2515;0.4265;0.4897;0.4961;0.4529;0.5123;0.4784;0.5181;0.4377;0.5456;0.4725;0.467;0.462;0.420;0.456;0.463;0.476;0.501;0.486;0.474;0.468;
31.07.18;07:46:14;2;2;0.2328;0.2667;0.2907;0.2495;0.2804;0.2574;0.2637;0.2304;0.2917;0.2574;0.4216;0.4779;0.4902;0.4466;0.5054;0.4730;0.5074;0.4299;0.5358;0.4642;0.448;0.442;0.407;0.441;0.445;0.456;0.480;0.464;0.456;0.446;
31.07.18;07:46:34;3;52;0.2456;0.2789;0.3020;0.2691;0.3029;0.2799;0.2897;0.2441;0.3054;0.2725;0.4162;0.4642;0.4730;0.4387;0.4975;0.4681;0.4995;0.4206;0.5201;0.4578;0.410;0.399;0.362;0.387;0.391;0.402;0.420;0.420;0.413;0.405;
31.07.18;07:46:54;4;102;0.2456;0.2750;0.3000;0.2696;0.3020;0.2794;0.2853;0.2422;0.3025;0.2725;0.3980;0.4377;0.4461;0.4176;0.4725;0.4456;0.4750;0.3990;0.4917;0.4377;0.383;0.372;0.327;0.354;0.361;0.373;0.399;0.393;0.385;0.377;
31.07.18;07:47:15;5;204;0.2613;0.2824;0.3118;0.2912;0.3270;0.3029;0.3064;0.2559;0.3147;0.2902;0.3735;0.3990;0.4098;0.3951;0.4461;0.4196;0.4426;0.3716;0.4461;0.4113;0.301;0.292;0.239;0.263;0.267;0.278;0.308;0.311;0.295;0.294;
31.07.18;07:47:35;6;308;0.2588;0.2721;0.3015;0.2912;0.3255;0.3025;0.3029;0.2525;0.3010;0.2863;0.3417;0.3569;0.3696;0.3657;0.4127;0.3877;0.4029;0.3402;0.3961;0.3779;0.242;0.238;0.184;0.204;0.211;0.220;0.248;0.258;0.240;0.243;
31.07.18;07:47:55;7;422;0.2451;0.2510;0.2819;0.2775;0.3093;0.2877;0.2858;0.2392;0.2799;0.2735;0.3078;0.3137;0.3319;0.3333;0.3745;0.3529;0.3623;0.3064;0.3500;0.3436;0.204;0.200;0.151;0.168;0.174;0.185;0.211;0.219;0.200;0.204;
31.07.18;07:48:15;8;540;0.2309;0.2319;0.2657;0.2627;0.2926;0.2725;0.2701;0.2265;0.2598;0.2593;0.2770;0.2779;0.3020;0.3049;0.3422;0.3211;0.3265;0.2779;0.3123;0.3132;0.166;0.166;0.120;0.138;0.145;0.151;0.173;0.185;0.168;0.172;
31.07.18;07:48:36;9;667;0.2181;0.2181;0.2500;0.2495;0.2765;0.2574;0.2549;0.2147;0.2436;0.2451;0.2529;0.2529;0.2770;0.2809;0.3137;0.2941;0.2975;0.2544;0.2828;0.2863;0.138;0.138;0.097;0.112;0.119;0.125;0.143;0.156;0.139;0.144;
31.07.18;07:48:56;10;814;0.2083;0.2098;0.2382;0.2382;0.2637;0.2456;0.2431;0.2054;0.2319;0.2348;0.2328;0.2343;0.2564;0.2608;0.2897;0.2716;0.2730;0.2343;0.2603;0.2652;0.105;0.105;0.071;0.086;0.090;0.096;0.110;0.123;0.109;0.115;
31.07.18;07:49:16;11;1038;0.1966;0.1995;0.2255;0.2265;0.2495;0.2314;0.2299;0.1946;0.2201;0.2225;0.2152;0.2181;0.2382;0.2431;0.2696;0.2515;0.2534;0.2172;0.2417;0.2461;0.087;0.085;0.053;0.069;0.075;0.080;0.093;0.104;0.089;0.096;
31.07.18;07:49:37;12;1290;0.1877;0.1917;0.2157;0.2162;0.2382;0.2206;0.2196;0.1868;0.2108;0.2132;0.2005;0.2049;0.2250;0.2284;0.2520;0.2353;0.2363;0.2025;0.2260;0.2299;0.064;0.065;0.041;0.054;0.054;0.063;0.071;0.077;0.067;0.072;
31.07.18;07:49:57;13;1633;0.1809;0.1838;0.2088;0.2083;0.2289;0.2132;0.2123;0.1809;0.2039;0.2064;0.1882;0.1912;0.2127;0.2147;0.2363;0.2206;0.2216;0.1907;0.2132;0.2162;0.039;0.038;0.000;0.030;0.031;0.033;0.042;0.051;0.044;0.045;
