Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;
31.07.18;07:52:59;1;0;0.2500;0.2529;0.2309;0.2539;0.2353;0.2314;0.2387;0.2569;0.2549;0.2387;0.2637;0.2627;0.2701;0.2740;0.2402;0.2525;0.4598;0.4662;0.4255;0.4637;0.4039;0.4083;0.4387;0.4485;0.4373;0.3936;0.4632;0.4814;0.5206;0.5083;0.4897;0.5044;0.456;0.457;0.457;0.452;0.417;0.433;0.456;0.427;0.417;0.394;0.431;0.454;0.481;0.461;0.510;0.500;
31.07.18;07:53:20;2;2;0.2529;0.2559;0.2328;0.2564;0.2368;0.2324;0.2412;0.2598;0.2559;0.2402;0.2657;0.2657;0.2740;0.2760;0.2461;0.2574;0.4534;0.4608;0.4186;0.4564;0.3985;0.4020;0.4324;0.4426;0.4309;0.3882;0.4574;0.4750;0.5137;0.5010;0.4828;0.4980;0.442;0.445;0.444;0.438;0.406;0.422;0.442;0.413;0.406;0.381;0.419;0.441;0.467;0.449;0.490;0.483;
31.07.18;07:53:41;3;52;0.2647;0.2676;0.2446;0.2681;0.2446;0.2402;0.2534;0.2662;0.2627;0.2485;0.2755;0.2784;0.2922;0.2902;0.2735;0.2755;0.4377;0.4387;0.4020;0.4368;0.3824;0.3828;0.4196;0.4240;0.4093;0.3711;0.4343;0.4529;0.4897;0.4794;0.4691;0.4779;0.395;0.390;0.391;0.386;0.360;0.373;0.396;0.372;0.358;0.330;0.366;0.385;0.403;0.395;0.417;0.424;
31.07.18;07:54:01;4;102;0.2613;0.2618;0.2412;0.2647;0.2417;0.2353;0.2520;0.2623;0.2574;0.2451;0.2725;0.2740;0.2853;0.2858;0.2642;0.2701;0.4083;0.4064;0.3740;0.4054;0.3574;0.3549;0.3956;0.3941;0.3779;0.3446;0.4029;0.4196;0.4525;0.4456;0.4407;0.4480;0.360;0.356;0.355;0.347;0.324;0.337;0.363;0.335;0.319;0.289;0.324;0.347;0.369;0.359;0.400;0.397;
31.07.18;07:54:21;5;204;0.2672;0.2667;0.2466;0.2701;0.2456;0.2353;0.2574;0.2642;0.2569;0.2461;0.2770;0.2794;0.2951;0.2907;0.2760;0.2799;0.3721;0.3642;0.3373;0.3642;0.3230;0.3172;0.3618;0.3559;0.3377;0.3103;0.3623;0.3770;0.4103;0.3985;0.4088;0.4083;0.282;0.268;0.269;0.258;0.240;0.258;0.289;0.258;0.239;0.207;0.235;0.259;0.281;0.271;0.325;0.315;
31.07.18;07:54:41;6;308;0.2574;0.2529;0.2368;0.2583;0.2363;0.2235;0.2490;0.2515;0.2446;0.2348;0.2647;0.2676;0.2838;0.2765;0.2716;0.2716;0.3289;0.3172;0.2971;0.3186;0.2863;0.2755;0.3191;0.3123;0.2951;0.2740;0.3191;0.3314;0.3613;0.3466;0.3662;0.3618;0.218;0.202;0.203;0.189;0.175;0.189;0.220;0.195;0.171;0.143;0.171;0.192;0.214;0.202;0.258;0.249;
31.07.18;07:55:02;7;422;0.2382;0.2333;0.2196;0.2377;0.2191;0.2059;0.2314;0.2324;0.2255;0.2172;0.2436;0.2466;0.2613;0.2534;0.2559;0.2544;0.2912;0.2804;0.2637;0.2819;0.2549;0.2422;0.2814;0.2760;0.2608;0.2446;0.2828;0.2926;0.3176;0.3034;0.3255;0.3196;0.182;0.168;0.167;0.157;0.140;0.150;0.178;0.158;0.135;0.112;0.139;0.157;0.177;0.165;0.214;0.204;
31.07.18;07:55:22;8;540;0.2225;0.2186;0.2059;0.2221;0.2059;0.1926;0.2162;0.2176;0.2108;0.2044;0.2289;0.2309;0.2451;0.2358;0.2402;0.2387;0.2593;0.2500;0.2358;0.2510;0.2299;0.2167;0.2500;0.2475;0.2343;0.2221;0.2554;0.2623;0.2828;0.2696;0.2902;0.2858;0.142;0.125;0.127;0.115;0.104;0.111;0.135;0.121;0.100;0.079;0.104;0.120;0.133;0.125;0.172;0.165;
31.07.18;07:55:42;9;667;0.2059;0.2025;0.1907;0.2059;0.1922;0.1789;0.2000;0.2029;0.1961;0.1907;0.2137;0.2142;0.2260;0.2181;0.2225;0.2211;0.2358;0.2275;0.2142;0.2289;0.2108;0.1975;0.2265;0.2265;0.2147;0.2039;0.2348;0.2392;0.2559;0.2446;0.2623;0.2583;0.127;0.110;0.110;0.101;0.088;0.094;0.117;0.104;0.087;0.065;0.090;0.105;0.117;0.108;0.151;0.144;
31.07.18;07:56:03;10;814;0.1966;0.1922;0.1819;0.1966;0.1843;0.1711;0.1902;0.1931;0.1877;0.1828;0.2044;0.2039;0.2147;0.2074;0.2113;0.2108;0.2157;0.2088;0.1966;0.2113;0.1946;0.1824;0.2069;0.2083;0.1980;0.1907;0.2176;0.2201;0.2338;0.2240;0.2382;0.2358;0.089;0.080;0.075;0.070;0.053;0.062;0.081;0.073;0.052;0.041;0.061;0.073;0.082;0.074;0.113;0.106;
