Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;
31.07.18;08:00:35;1;0;0.2554;0.2608;0.2618;0.2284;0.2721;0.2250;0.2270;0.2088;0.5211;0.5176;0.5436;0.4652;0.5211;0.4559;0.4775;0.4279;0.510;0.496;0.518;0.509;0.478;0.506;0.525;0.512;
31.07.18;08:00:56;2;2;0.2603;0.2652;0.2681;0.2343;0.2740;0.2309;0.2319;0.2132;0.5118;0.5088;0.5348;0.4598;0.5108;0.4490;0.4686;0.4206;0.491;0.479;0.499;0.490;0.464;0.486;0.505;0.493;
31.07.18;08:01:16;3;52;0.2804;0.2819;0.2897;0.2539;0.2926;0.2539;0.2534;0.2299;0.4946;0.4922;0.5191;0.4475;0.4985;0.4314;0.4559;0.4162;0.433;0.427;0.442;0.433;0.413;0.411;0.444;0.448;
31.07.18;08:01:37;4;102;0.2784;0.2789;0.2843;0.2520;0.2956;0.2529;0.2515;0.2304;0.4711;0.4662;0.4946;0.4304;0.4750;0.4118;0.4402;0.4029;0.409;0.402;0.425;0.415;0.378;0.386;0.429;0.428;
31.07.18;08:01:57;5;204;0.2917;0.2931;0.2966;0.2637;0.3088;0.2569;0.2632;0.2407;0.4319;0.4319;0.4583;0.4025;0.4368;0.3755;0.4137;0.3804;0.325;0.321;0.353;0.345;0.293;0.316;0.364;0.367;
31.07.18;08:02:17;6;308;0.2819;0.2858;0.2877;0.2569;0.2990;0.2485;0.2608;0.2407;0.3843;0.3892;0.4093;0.3574;0.3907;0.3343;0.3750;0.3475;0.267;0.266;0.297;0.281;0.235;0.257;0.305;0.307;
31.07.18;08:02:37;7;422;0.2662;0.2716;0.2721;0.2422;0.2824;0.2333;0.2490;0.2314;0.3382;0.3475;0.3593;0.3132;0.3480;0.2951;0.3343;0.3098;0.213;0.219;0.243;0.227;0.189;0.209;0.255;0.253;
31.07.18;08:02:58;8;540;0.2510;0.2588;0.2564;0.2270;0.2672;0.2206;0.2358;0.2196;0.2995;0.3127;0.3167;0.2755;0.3108;0.2627;0.2946;0.2740;0.162;0.172;0.190;0.176;0.140;0.160;0.200;0.199;
31.07.18;08:03:18;9;667;0.2294;0.2387;0.2343;0.2069;0.2461;0.2025;0.2162;0.2010;0.2696;0.2833;0.2833;0.2471;0.2814;0.2368;0.2652;0.2461;0.149;0.157;0.173;0.163;0.125;0.145;0.185;0.183;
31.07.18;08:03:38;10;814;0.2152;0.2255;0.2191;0.1931;0.2324;0.1912;0.2025;0.1873;0.2441;0.2593;0.2569;0.2230;0.2588;0.2167;0.2397;0.2211;0.118;0.130;0.147;0.134;0.102;0.118;0.155;0.153;
31.07.18;08:03:59;11;1038;0.2059;0.2152;0.2088;0.1833;0.2225;0.1828;0.1926;0.1779;0.2260;0.2402;0.2353;0.2049;0.2402;0.2005;0.2191;0.2020;0.089;0.104;0.113;0.105;0.073;0.088;0.121;0.119;
31.07.18;08:04:19;12;1290;0.1990;0.2083;0.2015;0.1770;0.2157;0.1770;0.1863;0.1721;0.2103;0.2230;0.2176;0.1892;0.2250;0.1873;0.2025;0.1858;0.054;0.066;0.074;0.065;0.041;0.055;0.080;0.074;
31.07.18;08:04:39;13;1633;0.1882;0.1975;0.1907;0.1662;0.2044;0.1672;0.1755;0.1613;0.1975;0.2098;0.2034;0.1770;0.2127;0.1760;0.1882;0.1735;0.047;0.058;0.063;0.061;0.039;0.050;0.068;0.071;
