Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;
01.08.18;06:44:32;1;0;0.2137;0.2127;0.2098;0.2083;0.1814;0.1779;0.1157;0.4230;0.4324;0.4407;0.4529;0.4010;0.3789;0.2676;0.495;0.508;0.524;0.540;0.548;0.530;0.568;
01.08.18;06:44:53;2;2;0.2176;0.2167;0.2147;0.2142;0.1873;0.1833;0.1221;0.4176;0.4240;0.4314;0.4436;0.3946;0.3725;0.2632;0.479;0.489;0.502;0.517;0.525;0.508;0.536;
01.08.18;06:45:14;3;52;0.2485;0.2500;0.2441;0.2515;0.2172;0.2113;0.1392;0.4127;0.4186;0.4255;0.4431;0.3931;0.3686;0.2657;0.398;0.403;0.426;0.433;0.448;0.427;0.476;
01.08.18;06:45:34;4;102;0.2534;0.2529;0.2392;0.2608;0.2216;0.2108;0.1377;0.3912;0.3956;0.4000;0.4270;0.3779;0.3505;0.2569;0.352;0.361;0.402;0.389;0.414;0.399;0.464;
01.08.18;06:45:54;5;204;0.2794;0.2779;0.2593;0.2961;0.2500;0.2284;0.1534;0.3725;0.3735;0.3740;0.4123;0.3632;0.3319;0.2515;0.250;0.256;0.307;0.282;0.312;0.312;0.390;
01.08.18;06:46:14;6;308;0.2848;0.2819;0.2623;0.3093;0.2623;0.2353;0.1652;0.3490;0.3475;0.3431;0.3936;0.3456;0.3088;0.2436;0.184;0.189;0.236;0.214;0.241;0.238;0.322;
01.08.18;06:46:35;7;422;0.2765;0.2711;0.2500;0.3049;0.2593;0.2275;0.1686;0.3225;0.3191;0.3088;0.3686;0.3225;0.2824;0.2324;0.143;0.151;0.190;0.173;0.196;0.194;0.274;
01.08.18;06:46:55;8;540;0.2662;0.2613;0.2382;0.2980;0.2529;0.2191;0.1701;0.2975;0.2936;0.2794;0.3441;0.3005;0.2578;0.2211;0.105;0.110;0.147;0.134;0.158;0.150;0.231;
01.08.18;06:47:15;9;667;0.2495;0.2436;0.2206;0.2814;0.2387;0.2039;0.1642;0.2740;0.2696;0.2520;0.3186;0.2770;0.2343;0.2078;0.089;0.096;0.125;0.117;0.138;0.130;0.210;
01.08.18;06:47:35;10;814;0.2363;0.2304;0.2069;0.2667;0.2260;0.1912;0.1588;0.2549;0.2500;0.2314;0.2966;0.2559;0.2147;0.1941;0.073;0.078;0.106;0.101;0.117;0.110;0.182;
01.08.18;06:47:56;11;1038;0.2270;0.2211;0.1980;0.2559;0.2172;0.1828;0.1554;0.2373;0.2328;0.2132;0.2740;0.2363;0.1966;0.1804;0.043;0.051;0.071;0.066;0.081;0.070;0.139;
01.08.18;06:48:16;12;1290;0.2181;0.2132;0.1907;0.2451;0.2083;0.1750;0.1520;0.2230;0.2191;0.1990;0.2549;0.2191;0.1824;0.1681;0.022;0.027;0.042;0.038;0.049;0.040;0.096;
01.08.18;06:48:36;13;1633;0.2069;0.2025;0.1809;0.2309;0.1966;0.1652;0.1451;0.2093;0.2054;0.1853;0.2363;0.2029;0.1696;0.1564;0.000;0.000;0.024;0.023;0.031;0.026;0.072;
