Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;
01.08.18;06:51:48;1;0;0.2328;0.2387;0.2485;0.2574;0.2240;0.3309;0.3275;0.2789;0.3132;0.2956;0.2539;0.2137;0.4637;0.4789;0.4779;0.5289;0.4485;0.6667;0.6662;0.5799;0.6304;0.5843;0.5240;0.4623;0.498;0.502;0.480;0.513;0.501;0.504;0.508;0.519;0.503;0.494;0.515;0.538;
01.08.18;06:52:09;2;2;0.2373;0.2431;0.2525;0.2627;0.2289;0.3363;0.3328;0.2853;0.3196;0.3010;0.2598;0.2196;0.4539;0.4681;0.4686;0.5191;0.4402;0.6520;0.6485;0.5672;0.6191;0.5730;0.5147;0.4539;0.477;0.481;0.461;0.494;0.480;0.484;0.487;0.497;0.484;0.475;0.495;0.516;
01.08.18;06:52:29;3;52;0.2819;0.2887;0.3020;0.3054;0.2623;0.3848;0.3848;0.3245;0.3623;0.3564;0.3020;0.2544;0.4554;0.4706;0.4721;0.5034;0.4343;0.6245;0.6304;0.5495;0.5931;0.5716;0.5098;0.4466;0.381;0.386;0.360;0.393;0.396;0.384;0.390;0.409;0.389;0.377;0.408;0.430;
01.08.18;06:52:50;4;102;0.2897;0.2975;0.3103;0.2922;0.2647;0.3652;0.3740;0.3127;0.3451;0.3623;0.2995;0.2466;0.4289;0.4436;0.4422;0.4515;0.4059;0.5574;0.5721;0.5025;0.5338;0.5353;0.4765;0.4142;0.325;0.329;0.298;0.353;0.348;0.345;0.346;0.378;0.354;0.323;0.371;0.405;
01.08.18;06:53:10;5;204;0.3098;0.3196;0.3289;0.3039;0.2779;0.3725;0.3833;0.3245;0.3525;0.3858;0.3142;0.2598;0.4069;0.4225;0.4191;0.4172;0.3814;0.5029;0.5235;0.4603;0.4824;0.5049;0.4456;0.3868;0.239;0.244;0.215;0.271;0.271;0.259;0.268;0.295;0.269;0.236;0.295;0.328;
01.08.18;06:53:30;6;308;0.3142;0.3265;0.3324;0.2985;0.2789;0.3598;0.3770;0.3196;0.3426;0.3873;0.3167;0.2608;0.3824;0.4000;0.3956;0.3789;0.3539;0.4505;0.4765;0.4176;0.4328;0.4711;0.4142;0.3549;0.178;0.184;0.160;0.212;0.212;0.201;0.209;0.235;0.208;0.178;0.236;0.265;
01.08.18;06:53:50;7;422;0.3044;0.3186;0.3230;0.2853;0.2696;0.3377;0.3574;0.3029;0.3221;0.3740;0.3064;0.2510;0.3529;0.3721;0.3676;0.3426;0.3240;0.4005;0.4275;0.3735;0.3843;0.4338;0.3775;0.3201;0.138;0.144;0.121;0.167;0.168;0.157;0.164;0.189;0.162;0.138;0.188;0.216;
01.08.18;06:54:11;8;540;0.2907;0.3054;0.3093;0.2696;0.2583;0.3152;0.3368;0.2848;0.3015;0.3554;0.2922;0.2377;0.3270;0.3456;0.3417;0.3127;0.2990;0.3608;0.3887;0.3377;0.3466;0.3995;0.3456;0.2907;0.111;0.116;0.095;0.138;0.136;0.126;0.134;0.157;0.130;0.110;0.155;0.182;
01.08.18;06:54:31;9;667;0.2750;0.2902;0.2936;0.2554;0.2456;0.2956;0.3176;0.2686;0.2833;0.3382;0.2784;0.2255;0.3010;0.3196;0.3172;0.2858;0.2750;0.3279;0.3539;0.3069;0.3152;0.3691;0.3167;0.2642;0.086;0.092;0.074;0.106;0.107;0.099;0.102;0.125;0.101;0.084;0.121;0.147;
01.08.18;06:54:51;10;814;0.2627;0.2775;0.2814;0.2436;0.2348;0.2814;0.3015;0.2564;0.2701;0.3211;0.2627;0.2157;0.2794;0.2961;0.2961;0.2637;0.2554;0.3029;0.3260;0.2828;0.2917;0.3412;0.2892;0.2431;0.060;0.063;0.050;0.076;0.081;0.071;0.075;0.094;0.074;0.059;0.092;0.113;
01.08.18;06:55:11;11;1038;0.2461;0.2588;0.2642;0.2260;0.2211;0.2632;0.2819;0.2402;0.2534;0.2985;0.2431;0.2000;0.2593;0.2740;0.2765;0.2422;0.2373;0.2809;0.3015;0.2613;0.2706;0.3162;0.2647;0.2230;0.051;0.055;0.044;0.067;0.068;0.063;0.065;0.081;0.063;0.056;0.081;0.103;
01.08.18;06:55:32;12;1290;0.2338;0.2451;0.2510;0.2157;0.2118;0.2515;0.2696;0.2299;0.2417;0.2858;0.2333;0.1922;0.2426;0.2564;0.2588;0.2270;0.2230;0.2637;0.2828;0.2451;0.2539;0.2980;0.2490;0.2093;0.036;0.044;0.030;0.050;0.051;0.046;0.047;0.062;0.048;0.041;0.063;0.082;
01.08.18;06:55:52;13;1633;0.2240;0.2338;0.2387;0.2083;0.2039;0.2422;0.2588;0.2221;0.2333;0.2750;0.2265;0.1863;0.2279;0.2387;0.2422;0.2142;0.2098;0.2480;0.2652;0.2299;0.2387;0.2804;0.2353;0.1961;0.000;0.021;0.000;0.027;0.028;0.024;0.024;0.034;0.023;0.019;0.038;0.050;
