Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;
01.08.18;06:58:34;1;0;0.2275;0.2324;0.2353;0.2485;0.2652;0.2725;0.2505;0.2922;0.2951;0.2868;0.2397;0.2657;0.2613;0.2338;0.4196;0.4417;0.4299;0.4539;0.5098;0.4662;0.4735;0.5539;0.5691;0.5706;0.4721;0.5446;0.4809;0.4828;0.458;0.474;0.453;0.452;0.480;0.415;0.471;0.473;0.481;0.497;0.492;0.512;0.457;0.516;
01.08.18;06:58:55;2;2;0.2304;0.2387;0.2412;0.2539;0.2716;0.2765;0.2544;0.2980;0.3015;0.2922;0.2451;0.2711;0.2681;0.2417;0.4108;0.4338;0.4230;0.4466;0.4995;0.4583;0.4642;0.5446;0.5583;0.5564;0.4627;0.5324;0.4765;0.4760;0.439;0.450;0.430;0.431;0.456;0.397;0.452;0.453;0.460;0.475;0.470;0.491;0.437;0.492;
01.08.18;06:59:16;3;52;0.2441;0.2525;0.2534;0.2681;0.2877;0.2892;0.2809;0.3319;0.3377;0.3314;0.2691;0.3196;0.2819;0.2686;0.3922;0.4123;0.4029;0.4240;0.4696;0.4333;0.4578;0.5338;0.5456;0.5451;0.4505;0.5108;0.4554;0.4711;0.378;0.388;0.371;0.368;0.387;0.333;0.387;0.378;0.381;0.392;0.403;0.374;0.381;0.430;
01.08.18;06:59:36;4;102;0.2402;0.2475;0.2485;0.2627;0.2789;0.2882;0.2868;0.3333;0.3353;0.3270;0.2686;0.3211;0.2775;0.2632;0.3652;0.3828;0.3760;0.3926;0.4314;0.4049;0.4348;0.4995;0.5083;0.5069;0.4221;0.4750;0.4206;0.4441;0.342;0.353;0.339;0.331;0.353;0.288;0.340;0.333;0.340;0.355;0.364;0.324;0.340;0.407;
01.08.18;06:59:56;5;204;0.2436;0.2461;0.2480;0.2647;0.2804;0.2917;0.3015;0.3485;0.3485;0.3402;0.2794;0.3265;0.2814;0.2711;0.3338;0.3461;0.3426;0.3593;0.3907;0.3696;0.4078;0.4652;0.4716;0.4676;0.3902;0.4363;0.3848;0.4137;0.270;0.289;0.276;0.263;0.282;0.211;0.261;0.251;0.261;0.273;0.284;0.252;0.269;0.345;
01.08.18;07:00:17;6;308;0.2392;0.2392;0.2412;0.2578;0.2716;0.2833;0.3015;0.3441;0.3431;0.3377;0.2775;0.3191;0.2745;0.2711;0.3054;0.3142;0.3123;0.3275;0.3525;0.3382;0.3784;0.4289;0.4343;0.4299;0.3588;0.4000;0.3510;0.3814;0.217;0.239;0.228;0.213;0.229;0.162;0.203;0.198;0.210;0.214;0.227;0.202;0.218;0.289;
01.08.18;07:00:37;7;422;0.2289;0.2260;0.2279;0.2441;0.2569;0.2701;0.2922;0.3299;0.3275;0.3230;0.2667;0.3064;0.2623;0.2608;0.2770;0.2814;0.2804;0.2956;0.3157;0.3088;0.3480;0.3902;0.3926;0.3892;0.3265;0.3642;0.3186;0.3422;0.173;0.197;0.187;0.174;0.186;0.125;0.161;0.155;0.166;0.170;0.183;0.159;0.177;0.238;
01.08.18;07:00:57;8;540;0.2176;0.2132;0.2152;0.2304;0.2426;0.2554;0.2784;0.3113;0.3088;0.3054;0.2534;0.2907;0.2480;0.2471;0.2539;0.2559;0.2564;0.2696;0.2868;0.2838;0.3211;0.3569;0.3583;0.3549;0.2990;0.3343;0.2912;0.3103;0.143;0.167;0.161;0.145;0.154;0.100;0.133;0.128;0.138;0.140;0.152;0.130;0.148;0.204;
01.08.18;07:01:17;9;667;0.2064;0.2025;0.2049;0.2196;0.2289;0.2431;0.2647;0.2951;0.2926;0.2892;0.2412;0.2779;0.2368;0.2358;0.2328;0.2338;0.2353;0.2485;0.2603;0.2623;0.2951;0.3275;0.3279;0.3250;0.2745;0.3074;0.2681;0.2814;0.114;0.134;0.129;0.116;0.121;0.073;0.103;0.099;0.108;0.110;0.121;0.096;0.117;0.162;
01.08.18;07:01:38;10;814;0.1971;0.1926;0.1956;0.2098;0.2186;0.2314;0.2520;0.2794;0.2770;0.2725;0.2275;0.2618;0.2250;0.2240;0.2157;0.2157;0.2181;0.2314;0.2422;0.2441;0.2735;0.3029;0.3025;0.2990;0.2529;0.2809;0.2480;0.2588;0.086;0.107;0.103;0.093;0.097;0.052;0.079;0.078;0.084;0.089;0.101;0.068;0.093;0.134;
01.08.18;07:01:58;11;1038;0.1882;0.1843;0.1873;0.2015;0.2098;0.2211;0.2402;0.2662;0.2632;0.2598;0.2181;0.2529;0.2167;0.2118;0.2005;0.1995;0.2034;0.2157;0.2255;0.2284;0.2539;0.2809;0.2799;0.2765;0.2343;0.2662;0.2324;0.2358;0.061;0.076;0.080;0.066;0.070;0.032;0.054;0.052;0.060;0.060;0.069;0.050;0.068;0.102;
