Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;
01.08.18;07:06:18;1;0;0.2343;0.2446;0.2221;0.2319;0.2353;0.2206;0.2490;0.2186;0.2275;0.2451;0.2559;0.2520;0.2373;0.2627;0.2461;0.2627;0.2230;0.2275;0.2422;0.2368;0.2314;0.3926;0.4451;0.4078;0.4304;0.4358;0.4010;0.4838;0.3730;0.3873;0.4338;0.4946;0.4985;0.4598;0.4794;0.4843;0.5054;0.4853;0.4779;0.4887;0.4799;0.4598;0.403;0.450;0.456;0.461;0.460;0.450;0.485;0.414;0.413;0.435;0.483;0.495;0.484;0.452;0.492;0.480;0.540;0.524;0.505;0.507;0.497;
01.08.18;07:06:40;2;2;0.2373;0.2485;0.2255;0.2363;0.2392;0.2240;0.2525;0.2211;0.2299;0.2475;0.2588;0.2559;0.2422;0.2662;0.2510;0.2672;0.2328;0.2353;0.2480;0.2431;0.2358;0.3868;0.4373;0.4005;0.4230;0.4284;0.3936;0.4721;0.3652;0.3794;0.4245;0.4828;0.4877;0.4520;0.4711;0.4760;0.4971;0.4779;0.4696;0.4794;0.4716;0.4495;0.387;0.432;0.437;0.441;0.442;0.431;0.465;0.395;0.394;0.417;0.464;0.475;0.464;0.435;0.473;0.463;0.513;0.499;0.483;0.484;0.475;
01.08.18;07:07:00;3;52;0.2495;0.2657;0.2417;0.2510;0.2529;0.2358;0.2755;0.2270;0.2368;0.2593;0.2848;0.2843;0.2642;0.2902;0.2897;0.2980;0.2814;0.2745;0.2740;0.2667;0.2534;0.3691;0.4137;0.3770;0.3951;0.4020;0.3721;0.4529;0.3441;0.3588;0.4010;0.4632;0.4691;0.4324;0.4505;0.4559;0.4725;0.4701;0.4627;0.4608;0.4544;0.4319;0.324;0.358;0.359;0.365;0.371;0.366;0.392;0.340;0.340;0.353;0.385;0.394;0.389;0.356;0.365;0.369;0.401;0.407;0.405;0.413;0.413;
01.08.18;07:07:20;4;102;0.2471;0.2598;0.2368;0.2446;0.2471;0.2324;0.2681;0.2235;0.2333;0.2534;0.2755;0.2760;0.2583;0.2848;0.2941;0.2936;0.2794;0.2706;0.2696;0.2598;0.2471;0.3426;0.3775;0.3461;0.3623;0.3696;0.3451;0.4167;0.3167;0.3314;0.3672;0.4235;0.4304;0.3975;0.4127;0.4230;0.4324;0.4412;0.4324;0.4265;0.4230;0.4020;0.279;0.312;0.316;0.325;0.332;0.327;0.356;0.294;0.296;0.310;0.350;0.359;0.350;0.310;0.305;0.321;0.367;0.374;0.368;0.386;0.385;
01.08.18;07:07:40;5;204;0.2466;0.2613;0.2392;0.2456;0.2490;0.2358;0.2775;0.2191;0.2319;0.2520;0.2799;0.2814;0.2623;0.2912;0.3020;0.2990;0.2931;0.2868;0.2784;0.2686;0.2525;0.3108;0.3402;0.3132;0.3255;0.3338;0.3157;0.3824;0.2858;0.3010;0.3319;0.3843;0.3902;0.3623;0.3765;0.3902;0.3931;0.4137;0.4069;0.3922;0.3892;0.3676;0.207;0.232;0.236;0.245;0.254;0.253;0.274;0.233;0.230;0.241;0.272;0.279;0.276;0.227;0.226;0.239;0.291;0.295;0.290;0.310;0.313;
01.08.18;07:08:01;6;308;0.2382;0.2534;0.2319;0.2377;0.2412;0.2289;0.2706;0.2118;0.2230;0.2431;0.2716;0.2740;0.2564;0.2824;0.2961;0.2917;0.2931;0.2882;0.2745;0.2652;0.2471;0.2828;0.3083;0.2838;0.2941;0.3020;0.2868;0.3466;0.2593;0.2730;0.2995;0.3456;0.3525;0.3289;0.3407;0.3564;0.3564;0.3804;0.3765;0.3574;0.3544;0.3333;0.158;0.178;0.183;0.192;0.201;0.202;0.219;0.183;0.183;0.188;0.214;0.223;0.221;0.171;0.169;0.182;0.229;0.234;0.232;0.252;0.259;
01.08.18;07:08:21;7;422;0.2265;0.2407;0.2211;0.2260;0.2299;0.2181;0.2588;0.2015;0.2118;0.2309;0.2578;0.2608;0.2451;0.2681;0.2838;0.2775;0.2809;0.2794;0.2647;0.2564;0.2368;0.2554;0.2775;0.2569;0.2642;0.2701;0.2583;0.3098;0.2338;0.2456;0.2691;0.3078;0.3157;0.2961;0.3064;0.3245;0.3201;0.3431;0.3417;0.3216;0.3181;0.2971;0.113;0.133;0.139;0.145;0.149;0.156;0.165;0.138;0.138;0.142;0.162;0.174;0.172;0.125;0.125;0.133;0.181;0.182;0.177;0.194;0.203;
01.08.18;07:08:41;8;540;0.2123;0.2255;0.2069;0.2103;0.2142;0.2044;0.2407;0.1887;0.1980;0.2157;0.2382;0.2422;0.2289;0.2500;0.2667;0.2583;0.2603;0.2603;0.2466;0.2382;0.2191;0.2343;0.2525;0.2338;0.2392;0.2451;0.2353;0.2799;0.2132;0.2235;0.2446;0.2765;0.2838;0.2681;0.2794;0.2966;0.2917;0.3078;0.3083;0.2902;0.2868;0.2652;0.094;0.107;0.115;0.121;0.126;0.131;0.140;0.115;0.114;0.118;0.138;0.147;0.146;0.105;0.101;0.114;0.154;0.156;0.150;0.169;0.174;
01.08.18;07:09:02;9;667;0.2005;0.2123;0.1941;0.1975;0.2000;0.1917;0.2240;0.1775;0.1868;0.2034;0.2225;0.2255;0.2142;0.2348;0.2525;0.2417;0.2451;0.2436;0.2314;0.2240;0.2044;0.2157;0.2314;0.2132;0.2181;0.2225;0.2137;0.2525;0.1956;0.2049;0.2240;0.2505;0.2569;0.2436;0.2554;0.2730;0.2652;0.2799;0.2784;0.2627;0.2593;0.2382;0.070;0.083;0.090;0.094;0.101;0.103;0.113;0.093;0.089;0.092;0.112;0.122;0.121;0.081;0.075;0.089;0.124;0.125;0.119;0.136;0.142;
01.08.18;07:09:22;10;814;0.1912;0.2015;0.1843;0.1873;0.1897;0.1814;0.2108;0.1686;0.1779;0.1931;0.2108;0.2132;0.2029;0.2230;0.2402;0.2294;0.2314;0.2299;0.2186;0.2113;0.1931;0.2015;0.2152;0.1980;0.2025;0.2064;0.1975;0.2314;0.1814;0.1907;0.2083;0.2309;0.2353;0.2240;0.2377;0.2544;0.2451;0.2564;0.2554;0.2412;0.2373;0.2181;0.051;0.064;0.069;0.075;0.081;0.082;0.089;0.070;0.067;0.073;0.087;0.094;0.094;0.062;0.056;0.064;0.098;0.100;0.093;0.110;0.115;
