Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;
01.08.18;07:17:37;1;1;0.2377;0.2240;0.2083;0.2436;0.2520;0.2446;0.2343;0.2157;0.1495;0.4868;0.4877;0.4245;0.5176;0.5333;0.5098;0.4907;0.4539;0.3176;0.512;0.541;0.509;0.529;0.528;0.520;0.522;0.525;0.529;
01.08.18;07:17:58;2;2;0.2431;0.2304;0.2132;0.2475;0.2559;0.2500;0.2387;0.2196;0.1529;0.4760;0.4750;0.4137;0.4980;0.5127;0.4931;0.4750;0.4407;0.3074;0.489;0.515;0.485;0.503;0.501;0.493;0.497;0.502;0.502;
01.08.18;07:18:18;3;52;0.2794;0.2745;0.2348;0.2902;0.2907;0.2853;0.2667;0.2490;0.1725;0.4740;0.4730;0.4123;0.4912;0.5039;0.4789;0.4701;0.4319;0.3074;0.411;0.420;0.430;0.409;0.423;0.404;0.433;0.423;0.439;
01.08.18;07:18:39;4;102;0.2824;0.2691;0.2373;0.2794;0.2824;0.2779;0.2662;0.2466;0.1711;0.4578;0.4574;0.3985;0.4632;0.4755;0.4544;0.4471;0.4108;0.2961;0.383;0.412;0.405;0.397;0.406;0.388;0.405;0.400;0.422;
01.08.18;07:18:59;5;204;0.3054;0.2961;0.2554;0.3000;0.2980;0.2941;0.2824;0.2623;0.1828;0.4382;0.4417;0.3794;0.4338;0.4422;0.4206;0.4176;0.3833;0.2824;0.303;0.330;0.327;0.308;0.326;0.301;0.324;0.316;0.352;
01.08.18;07:19:19;6;308;0.3108;0.3059;0.2569;0.2951;0.2926;0.2868;0.2789;0.2588;0.1858;0.4132;0.4181;0.3554;0.3951;0.4015;0.3775;0.3814;0.3490;0.2647;0.248;0.268;0.277;0.253;0.271;0.240;0.269;0.258;0.298;
01.08.18;07:19:40;7;422;0.3069;0.3044;0.2520;0.2833;0.2799;0.2706;0.2676;0.2480;0.1824;0.3853;0.3917;0.3284;0.3564;0.3598;0.3353;0.3426;0.3132;0.2436;0.204;0.223;0.233;0.205;0.222;0.193;0.219;0.208;0.252;
01.08.18;07:20:00;8;540;0.2980;0.2980;0.2431;0.2681;0.2652;0.2544;0.2544;0.2363;0.1770;0.3544;0.3608;0.2995;0.3201;0.3225;0.2980;0.3064;0.2814;0.2216;0.159;0.174;0.188;0.162;0.178;0.146;0.170;0.160;0.201;
01.08.18;07:20:20;9;667;0.2814;0.2799;0.2275;0.2471;0.2451;0.2324;0.2343;0.2167;0.1642;0.3270;0.3324;0.2740;0.2887;0.2907;0.2667;0.2750;0.2525;0.2005;0.139;0.158;0.170;0.144;0.157;0.129;0.148;0.142;0.181;
01.08.18;07:20:40;10;814;0.2691;0.2681;0.2176;0.2333;0.2333;0.2201;0.2216;0.2044;0.1564;0.3000;0.3049;0.2505;0.2613;0.2642;0.2426;0.2490;0.2279;0.1814;0.103;0.121;0.131;0.107;0.117;0.093;0.110;0.103;0.138;
01.08.18;07:21:01;11;1038;0.2564;0.2544;0.2074;0.2201;0.2211;0.2083;0.2108;0.1951;0.1485;0.2770;0.2799;0.2299;0.2392;0.2422;0.2230;0.2284;0.2098;0.1652;0.074;0.091;0.098;0.080;0.087;0.066;0.077;0.070;0.101;
01.08.18;07:21:21;12;1290;0.2387;0.2353;0.1931;0.2029;0.2064;0.1936;0.1956;0.1804;0.1377;0.2554;0.2554;0.2108;0.2186;0.2225;0.2054;0.2098;0.1931;0.1515;0.065;0.079;0.084;0.072;0.073;0.057;0.068;0.066;0.091;
01.08.18;07:21:41;13;1633;0.2275;0.2230;0.1843;0.1931;0.1966;0.1848;0.1868;0.1716;0.1314;0.2387;0.2373;0.1966;0.2034;0.2074;0.1926;0.1956;0.1794;0.1402;0.047;0.060;0.062;0.051;0.052;0.041;0.045;0.044;0.063;
