Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;
01.08.18;07:25:48;1;0;0.2015;0.2279;0.2230;0.2500;0.2608;0.2466;0.2828;0.2701;0.2696;0.2907;0.2436;0.2804;0.2627;0.2637;0.2338;0.2446;0.2358;0.2225;0.4544;0.5113;0.5069;0.5613;0.5838;0.5505;0.6299;0.5907;0.6025;0.6338;0.5549;0.6260;0.5995;0.5941;0.5412;0.5618;0.5475;0.5088;0.557;0.554;0.560;0.555;0.553;0.552;0.551;0.543;0.552;0.541;0.561;0.552;0.562;0.556;0.568;0.565;0.569;0.563;
01.08.18;07:26:09;2;2;0.2113;0.2368;0.2328;0.2593;0.2686;0.2549;0.2912;0.2779;0.2770;0.2980;0.2510;0.2882;0.2701;0.2716;0.2417;0.2534;0.2441;0.2309;0.4495;0.5044;0.4990;0.5534;0.5745;0.5426;0.6206;0.5828;0.5922;0.6245;0.5451;0.6162;0.5882;0.5843;0.5314;0.5515;0.5377;0.5000;0.530;0.531;0.533;0.531;0.532;0.530;0.531;0.523;0.532;0.523;0.540;0.532;0.541;0.535;0.545;0.540;0.546;0.538;
01.08.18;07:26:29;3;52;0.2426;0.2794;0.2593;0.2926;0.2980;0.2824;0.3294;0.3069;0.3093;0.3338;0.2779;0.3167;0.2995;0.2946;0.2627;0.2755;0.2662;0.2490;0.4441;0.4946;0.4887;0.5426;0.5554;0.5299;0.6000;0.5637;0.5730;0.6034;0.5343;0.5980;0.5745;0.5706;0.5221;0.5397;0.5275;0.4902;0.454;0.435;0.469;0.461;0.463;0.467;0.451;0.456;0.460;0.447;0.480;0.470;0.479;0.484;0.497;0.490;0.495;0.492;
01.08.18;07:26:50;4;102;0.2598;0.3029;0.2784;0.3181;0.3201;0.3083;0.3574;0.3368;0.3382;0.3686;0.3049;0.3515;0.3294;0.3270;0.2882;0.3059;0.2941;0.2730;0.4304;0.4828;0.4681;0.5191;0.5225;0.5078;0.5642;0.5333;0.5417;0.5701;0.5123;0.5691;0.5456;0.5475;0.5015;0.5221;0.5088;0.4745;0.396;0.373;0.405;0.387;0.387;0.393;0.367;0.369;0.376;0.353;0.405;0.382;0.396;0.403;0.425;0.414;0.422;0.425;
01.08.18;07:27:10;5;204;0.2882;0.3343;0.3088;0.3554;0.3490;0.3451;0.3917;0.3676;0.3716;0.4039;0.3426;0.3863;0.3632;0.3637;0.3235;0.3441;0.3319;0.3093;0.4074;0.4593;0.4377;0.4873;0.4804;0.4779;0.5196;0.4917;0.5010;0.5275;0.4789;0.5275;0.5049;0.5113;0.4711;0.4926;0.4789;0.4515;0.292;0.272;0.295;0.271;0.273;0.278;0.246;0.252;0.258;0.234;0.285;0.268;0.281;0.289;0.313;0.301;0.307;0.315;
01.08.18;07:27:30;6;308;0.2877;0.3353;0.3064;0.3554;0.3426;0.3441;0.3814;0.3598;0.3637;0.3951;0.3417;0.3819;0.3578;0.3613;0.3245;0.3485;0.3338;0.3152;0.3750;0.4265;0.3985;0.4480;0.4343;0.4387;0.4681;0.4461;0.4525;0.4784;0.4382;0.4814;0.4598;0.4676;0.4328;0.4578;0.4422;0.4221;0.233;0.214;0.231;0.207;0.211;0.216;0.185;0.193;0.196;0.174;0.220;0.207;0.222;0.227;0.250;0.239;0.245;0.253;
01.08.18;07:27:50;7;422;0.2775;0.3250;0.2946;0.3422;0.3260;0.3319;0.3632;0.3436;0.3471;0.3760;0.3279;0.3672;0.3426;0.3505;0.3147;0.3412;0.3250;0.3113;0.3407;0.3912;0.3618;0.4078;0.3912;0.3990;0.4225;0.4044;0.4088;0.4328;0.3961;0.4363;0.4147;0.4275;0.3951;0.4211;0.4039;0.3902;0.186;0.169;0.186;0.161;0.167;0.168;0.140;0.150;0.151;0.131;0.172;0.158;0.174;0.180;0.203;0.190;0.195;0.202;
01.08.18;07:28:11;8;540;0.2647;0.3108;0.2794;0.3230;0.3083;0.3147;0.3417;0.3255;0.3279;0.3549;0.3108;0.3480;0.3240;0.3338;0.3005;0.3279;0.3108;0.3010;0.3064;0.3549;0.3235;0.3652;0.3510;0.3583;0.3794;0.3647;0.3681;0.3902;0.3554;0.3936;0.3725;0.3863;0.3554;0.3828;0.3642;0.3564;0.136;0.124;0.136;0.115;0.122;0.122;0.099;0.108;0.109;0.090;0.126;0.116;0.130;0.136;0.154;0.143;0.147;0.155;
01.08.18;07:28:31;9;667;0.2461;0.2912;0.2593;0.3005;0.2848;0.2912;0.3167;0.3015;0.3044;0.3289;0.2887;0.3225;0.3015;0.3108;0.2799;0.3064;0.2907;0.2828;0.2770;0.3240;0.2931;0.3319;0.3172;0.3240;0.3441;0.3314;0.3348;0.3554;0.3221;0.3569;0.3382;0.3510;0.3221;0.3485;0.3304;0.3255;0.112;0.101;0.115;0.095;0.102;0.101;0.080;0.090;0.091;0.074;0.104;0.096;0.109;0.115;0.131;0.121;0.120;0.131;
01.08.18;07:28:51;10;814;0.2294;0.2725;0.2426;0.2784;0.2657;0.2706;0.2946;0.2809;0.2828;0.3069;0.2676;0.3005;0.2814;0.2887;0.2618;0.2863;0.2711;0.2657;0.2515;0.2951;0.2657;0.3010;0.2887;0.2941;0.3142;0.3029;0.3044;0.3260;0.2912;0.3260;0.3083;0.3186;0.2926;0.3172;0.3005;0.2971;0.088;0.076;0.087;0.075;0.080;0.080;0.062;0.073;0.071;0.059;0.081;0.078;0.087;0.094;0.106;0.097;0.098;0.106;
