Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;
01.08.18;07:44:37;1;1;0.2618;0.2588;0.2475;0.2676;0.2730;0.2525;0.2338;0.2569;0.2255;0.2475;0.2382;0.2750;0.2578;0.2971;0.2652;0.2814;0.2417;0.2471;0.2172;0.5863;0.5887;0.5529;0.5990;0.6020;0.5510;0.5108;0.5407;0.4971;0.5309;0.5333;0.6020;0.5706;0.6505;0.5951;0.6324;0.5529;0.5760;0.4990;0.554;0.560;0.552;0.553;0.546;0.542;0.542;0.525;0.546;0.534;0.553;0.543;0.548;0.543;0.554;0.555;0.563;0.571;0.565;
01.08.18;07:44:58;2;2;0.2681;0.2632;0.2525;0.2706;0.2779;0.2544;0.2377;0.2574;0.2304;0.2490;0.2426;0.2779;0.2613;0.3010;0.2691;0.2868;0.2461;0.2525;0.2221;0.5760;0.5775;0.5422;0.5877;0.5912;0.5412;0.5005;0.5309;0.4882;0.5221;0.5235;0.5912;0.5608;0.6397;0.5848;0.6245;0.5446;0.5676;0.4907;0.534;0.544;0.534;0.540;0.530;0.530;0.525;0.515;0.528;0.523;0.537;0.530;0.534;0.530;0.540;0.541;0.548;0.555;0.547;
01.08.18;07:45:18;3;52;0.3039;0.2961;0.2838;0.3078;0.3162;0.2917;0.2667;0.3049;0.2559;0.2946;0.2745;0.3245;0.3044;0.3539;0.3142;0.3373;0.2936;0.3088;0.2701;0.5564;0.5598;0.5235;0.5681;0.5701;0.5206;0.4843;0.5093;0.4735;0.5000;0.5093;0.5681;0.5436;0.6152;0.5672;0.6049;0.5314;0.5529;0.4824;0.454;0.471;0.458;0.458;0.445;0.440;0.449;0.401;0.460;0.411;0.461;0.429;0.440;0.425;0.446;0.442;0.447;0.441;0.440;
01.08.18;07:45:38;4;102;0.3275;0.3265;0.3103;0.3422;0.3466;0.3255;0.2917;0.3319;0.2828;0.3191;0.3015;0.3525;0.3324;0.3838;0.3436;0.3672;0.3176;0.3368;0.2887;0.5275;0.5324;0.4985;0.5392;0.5377;0.4902;0.4598;0.4740;0.4510;0.4652;0.4843;0.5343;0.5137;0.5779;0.5368;0.5740;0.5049;0.5289;0.4603;0.379;0.387;0.378;0.365;0.356;0.336;0.366;0.300;0.373;0.314;0.378;0.340;0.353;0.336;0.360;0.360;0.371;0.363;0.373;
01.08.18;07:45:59;5;204;0.3627;0.3657;0.3426;0.3760;0.3784;0.3534;0.3181;0.3564;0.3093;0.3426;0.3324;0.3804;0.3642;0.4157;0.3770;0.4049;0.3529;0.3750;0.3206;0.4892;0.4941;0.4613;0.4961;0.4946;0.4495;0.4230;0.4324;0.4167;0.4255;0.4495;0.4887;0.4745;0.5294;0.4961;0.5314;0.4711;0.4975;0.4319;0.259;0.260;0.257;0.242;0.235;0.214;0.248;0.176;0.258;0.195;0.261;0.222;0.232;0.215;0.240;0.238;0.251;0.246;0.258;
01.08.18;07:46:19;6;308;0.3623;0.3667;0.3412;0.3725;0.3735;0.3466;0.3147;0.3471;0.3074;0.3358;0.3309;0.3735;0.3598;0.4078;0.3740;0.4029;0.3534;0.3784;0.3225;0.4475;0.4515;0.4216;0.4510;0.4500;0.4064;0.3843;0.3907;0.3789;0.3858;0.4103;0.4436;0.4319;0.4794;0.4515;0.4858;0.4328;0.4632;0.4000;0.191;0.188;0.191;0.174;0.170;0.147;0.181;0.112;0.189;0.130;0.194;0.158;0.167;0.149;0.172;0.171;0.183;0.183;0.194;
01.08.18;07:46:39;7;422;0.3475;0.3515;0.3275;0.3559;0.3564;0.3299;0.3020;0.3299;0.2961;0.3191;0.3181;0.3564;0.3446;0.3897;0.3578;0.3877;0.3422;0.3696;0.3147;0.4074;0.4103;0.3833;0.4088;0.4083;0.3686;0.3505;0.3549;0.3451;0.3490;0.3725;0.4025;0.3917;0.4353;0.4088;0.4417;0.3956;0.4275;0.3676;0.147;0.143;0.146;0.129;0.127;0.105;0.138;0.070;0.142;0.086;0.146;0.114;0.120;0.105;0.125;0.122;0.135;0.135;0.144;
01.08.18;07:46:59;8;540;0.3279;0.3299;0.3078;0.3328;0.3328;0.3083;0.2833;0.3093;0.2760;0.2980;0.2980;0.3328;0.3221;0.3632;0.3343;0.3627;0.3221;0.3515;0.2975;0.3686;0.3696;0.3461;0.3696;0.3691;0.3338;0.3172;0.3235;0.3108;0.3167;0.3353;0.3632;0.3534;0.3931;0.3686;0.3990;0.3593;0.3912;0.3333;0.110;0.107;0.110;0.099;0.098;0.076;0.107;0.044;0.112;0.059;0.111;0.084;0.089;0.076;0.093;0.091;0.104;0.102;0.107;
01.08.18;07:47:20;9;667;0.3049;0.3078;0.2868;0.3103;0.3098;0.2868;0.2642;0.2877;0.2574;0.2779;0.2779;0.3113;0.3005;0.3392;0.3113;0.3387;0.3020;0.3319;0.2794;0.3353;0.3363;0.3152;0.3368;0.3363;0.3049;0.2882;0.2980;0.2824;0.2907;0.3049;0.3328;0.3230;0.3598;0.3363;0.3647;0.3284;0.3613;0.3059;0.091;0.085;0.090;0.079;0.079;0.059;0.083;0.035;0.089;0.044;0.088;0.065;0.070;0.057;0.074;0.071;0.081;0.081;0.087;
01.08.18;07:47:40;10;814;0.2873;0.2902;0.2696;0.2922;0.2917;0.2701;0.2480;0.2725;0.2422;0.2618;0.2598;0.2917;0.2814;0.3181;0.2922;0.3186;0.2848;0.3157;0.2632;0.3074;0.3083;0.2887;0.3093;0.3093;0.2809;0.2637;0.2765;0.2588;0.2681;0.2775;0.3049;0.2951;0.3309;0.3078;0.3348;0.3015;0.3338;0.2814;0.065;0.059;0.066;0.055;0.057;0.038;0.059;0.000;0.064;0.024;0.064;0.043;0.047;0.039;0.051;0.048;0.055;0.054;0.064;
